time_hours,Reliability,P_fail,P_H,P_M,P_C,P_Q,P_MC,P_QM,P_QC,P_F
227.0,1.0,0.0,7.692948648688164e-69,4.945239259598453e-71,7.35868128751902e-72,1.2698789119799532e-73,4.029126556714072e-74,6.772634178662319e-80,1.0,0.0
227.5,1.0,0.0,5.129861471554815e-69,3.3047572953468074e-71,4.91730670868851e-72,8.468452694055732e-74,2.697323589005865e-74,4.516472540179822e-80,1.0,0.0
228.0,1.0,0.0,3.4207272034540307e-69,2.2084609982996495e-71,3.2858860982865076e-72,5.647364460496381e-74,1.8057226084919543e-74,3.011904006468142e-80,1.0,0.0
228.5,1.0,0.0,2.2810313037369123e-69,1.4758350134695153e-71,2.1957132631289498e-72,3.766062845971872e-74,1.2088290353517495e-74,2.0085510493776252e-80,1.0,0.0
229.0,1.0,0.0,1.5210519574241285e-69,9.86242709585375e-72,1.4672248276514165e-72,2.5114775799415494e-74,8.092349115960935e-75,1.3394441761372217e-80,1.0,0.0
229.5,1.0,0.0,1.0142776442364058e-69,6.59064215706756e-72,9.804278522635124e-73,1.6748312054347147e-74,5.417266945703509e-75,8.932362883720712e-81,1.0,0.0
230.0,1.0,0.0,6.763471389497675e-70,4.404226005246927e-72,6.551376420248125e-73,1.1168961105170629e-74,3.626450713645301e-75,5.956732454257975e-81,1.0,0.0
230.5,1.0,0.0,4.510061470495307e-70,2.9431297562172703e-72,4.377714300359878e-73,7.448254523040291e-75,2.427611893242801e-75,3.9723712151526413e-81,1.0,0.0
231.0,1.0,0.0,3.007428182402203e-70,1.9667410340053346e-72,2.9252314549739874e-73,4.967023736870721e-75,1.625072292914412e-75,2.6490585309689135e-81,1.0,0.0
231.5,1.0,0.0,2.0054325936523682e-70,1.3142649134920247e-72,1.95465907874459e-73,3.312363252027165e-75,1.087832638374368e-75,1.766579872661113e-81,1.0,0.0
232.0,1.0,0.0,1.3372754538965774e-70,8.782468948399701e-73,1.3061100845065752e-73,2.20891841732014e-75,7.281946290457976e-76,1.1780805826177996e-81,1.0,0.0
232.5,1.0,0.0,8.91730614758469e-71,5.868786560024149e-73,8.72743310078225e-74,1.473063235484294e-75,4.874486396688546e-76,7.856275664347922e-82,1.0,0.0
233.0,1.0,0.0,5.946295409674178e-71,3.9217327854616633e-73,5.831647531280867e-74,9.823428781251137e-76,3.2629188755623886e-76,5.2391209610413474e-82,1.0,0.0
233.5,1.0,0.0,3.96514693046501e-71,2.6206298466934154e-73,3.896673401418412e-74,6.5509578815699e-76,2.184136261505236e-76,3.4938168367048293e-82,1.0,0.0
234.0,1.0,0.0,2.64406476587035e-71,1.7511823680739768e-73,2.603722865478538e-74,4.3686425304019145e-76,1.462006281471177e-76,2.3299244407637792e-82,1.0,0.0
234.5,1.0,0.0,1.763132264381727e-71,1.1701865069400209e-73,1.7397767608325916e-74,2.913320116917765e-76,9.786216545692212e-77,1.5537585692239106e-82,1.0,0.0
235.0,1.0,0.0,1.1757031907199002e-71,7.819461075339695e-74,1.1624929312611462e-74,1.9428080841742834e-76,6.550530825309755e-77,1.0361562061035919e-82,1.0,0.0
235.5,1.0,0.0,7.839899595698646e-72,5.225123890901626e-74,7.767569564915461e-75,1.2956019474181996e-76,4.3846433675439414e-77,6.909823023710745e-83,1.0,0.0
236.0,1.0,0.0,5.227852246705266e-72,3.491518962123237e-74,5.190127486671627e-75,8.639990765229769e-77,2.9348653391987475e-77,4.607959060129816e-83,1.0,0.0
236.5,1.0,0.0,3.48607004206739e-72,2.3330834260011027e-74,3.467919054034915e-75,5.761757295886321e-77,1.9644375355193214e-77,3.072913217903004e-83,1.0,0.0
237.0,1.0,0.0,2.3246036354334015e-72,1.5589930928240665e-74,2.3171702195133106e-75,3.842347489819801e-77,1.3148748701870294e-77,2.0492359923292195e-83,1.0,0.0
237.5,1.0,0.0,1.5501071397479753e-72,1.0417324215206313e-74,1.5482639188292229e-75,2.5623491822812195e-77,8.800894193954311e-78,1.3665755638167096e-83,1.0,0.0
238.0,1.0,0.0,1.0336524076930055e-72,6.960913642048921e-75,1.0344991167018024e-75,1.7087557250997278e-77,5.890679087898136e-78,9.11329276517406e-84,1.0,0.0
238.5,1.0,0.0,6.892667432673457e-73,4.651300458629118e-75,6.91215295669117e-76,1.1395192041644218e-77,3.9427581085212604e-78,6.077388360556506e-84,1.0,0.0
239.0,1.0,0.0,4.596212806534421e-73,3.107997310978967e-75,4.6184330064609594e-76,7.59912014072279e-78,2.638949775870975e-78,4.052832482641691e-84,1.0,0.0
239.5,1.0,0.0,3.06487617011825e-73,2.0767536086540164e-75,3.085844639152328e-76,5.067630818910098e-78,1.7662751294238605e-78,2.7027153779807096e-84,1.0,0.0
